sector,variable,value
s15,2002,95.96044345379967
s14,2002,147.98020791087518
s13,2002,47.982386480366536
s12,2002,36.623717407515365
s11,2002,0.6193244842287375
s10,2002,9.004393581678938
s9,2002,42.666375409000054
s8,2002,20.75971003341406
s6,2002,7.754929870814703
s5,2002,20.65972942930702
s4,2002,1.1149304847712973
s3,2002,7.622868910168619
s2,2002,34.87595242513396
s1,2002,1.7509935398615588
s15,2003,78.5678336601613
s14,2003,132.51225385719954
s13,2003,36.76589469876982
s12,2003,32.68778369874315
s11,2003,0.6409421292690677
s10,2003,9.301058325335834
s9,2003,33.54005758772422
s8,2003,25.44102572636675
s6,2003,10.698964742211826
s5,2003,14.729690972802624
s4,2003,1.088887648266657
s3,2003,12.13003758781614
s2,2003,35.95681201985679
s1,2003,3.6546777766763343
s15,2004,82.27344469448714
s14,2004,163.71291882909486
s13,2004,38.31883996704419
s12,2004,38.394663562195795
s11,2004,1.1328835043008216
s10,2004,13.653243705758369
s9,2004,44.94545975047146
s8,2004,22.482741799804764
s6,2004,8.91441440686
s5,2004,31.72986684120917
s4,2004,0.6059820472074607
s3,2004,12.021168647429938
s2,2004,36.990087899686316
s1,2004,2.661909946764621
s15,2005,265.33874766827836
s14,2005,185.09184213890782
s13,2005,53.51377786464923
s12,2005,41.61311747155811
s11,2005,0.8248772051872365
s10,2005,13.679657166210493
s9,2005,31.277844887449383
s8,2005,31.151087911945243
s6,2005,6.536776915928946
s5,2005,31.988525890061254
s4,2005,0.41600178502657836
s3,2005,10.298534405875635
s2,2005,70.2275661034377
s1,2005,3.4979529754030807
s15,2006,176.6060372849848
s14,2006,199.19564362832506
s13,2006,48.72562602824326
s12,2006,41.189260309892596
s11,2006,0.8401201039432452
s10,2006,13.572311719668198
s9,2006,35.65527276181256
s8,2006,25.82249147584602
s6,2006,7.043703327795323
s5,2006,17.2451605204115
s4,2006,0.25533454173473913
s3,2006,10.041318772922702
s2,2006,89.79291569781672
s1,2006,2.75312351289007
s15,2007,204.42399534467603
s14,2007,254.60258185785668
s13,2007,46.34481039045345
s12,2007,41.452140318726485
s11,2007,0.65925826039459
s10,2007,14.473893463020676
s9,2007,43.50156146953529
s8,2007,23.5393380239182
s6,2007,7.881964641864074
s5,2007,20.374347292204604
s4,2007,0.1858385093353423
s3,2007,9.910354911926682
s2,2007,62.49097008187166
s1,2007,3.5860537429400323
s15,2008,188.3385676762215
s14,2008,255.22747318590302
s13,2008,45.26328968200448
s12,2008,37.25488384872564
s11,2008,0.5450794920998939
s10,2008,11.980507920470226
s9,2008,31.159521007854334
s8,2008,28.432450896545816
s6,2008,9.793267054830448
s5,2008,19.512799588265242
s4,2008,0.1853618144541293
s3,2008,8.303970655771005
s2,2008,51.73189195452421
s1,2008,3.262630106274692
s15,2009,153.98763681017076
s14,2009,173.3801122992236
s13,2009,40.76771122998556
s12,2009,48.41760012637206
s11,2009,0.6349764072703667
s10,2009,15.696245541362588
s9,2009,44.14492647279324
s8,2009,19.091650929355428
s6,2009,7.4474223187081785
s5,2009,13.490130821989801
s4,2009,0.2296013026640467
s3,2009,8.491129749849023
s2,2009,63.70715575783679
s1,2009,2.9417516981973133
s15,2010,345.4568256135723
s14,2010,504.37094343317955
s13,2010,75.12599144570606
s12,2010,135.65146857076587
s11,2010,1.0486960475909322
s10,2010,36.11827825123418
s9,2010,78.85468824977073
s8,2010,21.022177564518476
s6,2010,5.0758069404376815
s5,2010,7.585540769721888
s4,2010,0.2091969299139769
s3,2010,10.805414811656457
s2,2010,69.72278919042817
s1,2010,4.351134440180959
